# h = 0.01
# t   KE   PE   E_total
6.51 1031.35 218.654 1250
6.52 1034.15 215.852 1250
6.53 1036.96 213.041 1250
6.54 1039.78 210.221 1250
6.55 1042.61 207.39 1250
6.56 1045.45 204.55 1250
6.57 1048.3 201.701 1250
6.58 1051.16 198.842 1250
6.59 1054.03 195.973 1250
6.6 1056.91 193.095 1250
6.61 1059.79 190.206 1250
6.62 1062.69 187.309 1250
6.63 1065.6 184.402 1250
6.64 1068.52 181.485 1250
6.65 1071.44 178.558 1250
6.66 1074.38 175.622 1250
6.67 1077.32 172.676 1250
6.68 1080.28 169.721 1250
6.69 1083.24 166.756 1250
6.7 1086.22 163.781 1250
6.71 1089.2 160.797 1250
6.72 1092.2 157.803 1250
6.73 1095.2 154.799 1250
6.74 1098.21 151.786 1250
6.75 1101.24 148.764 1250
6.76 1104.27 145.731 1250
6.77 1107.31 142.689 1250
6.78 1110.36 139.637 1250
6.79 1113.42 136.576 1250
6.8 1116.49 133.505 1250
6.81 1119.58 130.425 1250
6.82 1122.67 127.335 1250
6.83 1125.77 124.235 1250
6.84 1128.87 121.126 1250
6.85 1131.99 118.007 1250
6.86 1135.12 114.878 1250
6.87 1138.26 111.74 1250
6.88 1141.41 108.592 1250
6.89 1144.57 105.434 1250
6.9 1147.73 102.267 1250
6.91 1150.91 99.0904 1250
6.92 1154.1 95.9041 1250
6.93 1157.29 92.7081 1250
6.94 1160.5 89.5025 1250
6.95 1163.71 86.2872 1250
6.96 1166.94 83.0624 1250
6.97 1170.17 79.8279 1250
6.98 1173.42 76.5838 1250
6.99 1176.67 73.33 1250
7 1179.93 70.0667 1250
7.01 1183.21 66.7937 1250
7.02 1186.49 63.5111 1250
7.03 1189.78 60.2189 1250
7.04 1193.08 56.917 1250
7.05 1196.39 53.6055 1250
7.06 1199.72 50.2844 1250
7.07 1203.05 46.9537 1250
7.08 1206.39 43.6134 1250
7.09 1209.74 40.2634 1250
7.1 1213.1 36.9038 1250
7.11 1216.47 33.5346 1250
7.12 1219.84 30.1558 1250
7.13 1223.23 26.7673 1250
7.14 1226.63 23.3692 1250
7.15 1230.04 19.9615 1250
7.16 1233.46 16.5442 1250
7.17 1236.88 13.1172 1250
7.18 1240.32 9.68063 1250
7.19 1243.77 6.23443 1250
7.2 1247.22 2.7786 1250
